Word,Difficulty,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 plus
trait,33,0,6,22,35,24,11,2
flood,37,0,3,20,40,28,8,1
gloom,42,0,2,14,35,35,13,1
depth,25,0,6,28,39,20,6,1
froth,24,0,5,22,35,25,11,1
peach,23,1,13,38,32,13,3,0
showy,23,0,2,16,37,30,13,2
creak,26,0,5,21,32,25,14,3
manor,23,0,6,27,34,21,10,2
atoll,41,0,6,28,36,21,8,1
bayou,32,0,6,17,33,29,13,2
crept,25,0,4,27,38,22,7,1
tiara,30,0,8,36,33,17,6,1
asset,45,0,7,28,34,21,8,1
vouch,28,0,2,9,25,33,24,6
album,33,0,5,26,35,24,9,1
hinge,23,0,5,25,37,22,9,2
money,14,1,7,26,36,21,8,1
scrap,27,1,9,28,34,20,8,1
gamer,21,1,4,17,28,26,18,6
glass,30,0,4,19,33,27,14,3
scour,26,0,8,34,35,17,5,1
being,23,0,4,22,37,26,10,1
delve,26,0,2,14,32,33,16,2
yield,27,0,4,16,29,29,18,4
metal,26,1,10,31,34,18,7,1
tipsy,23,0,6,33,38,17,5,1
slung,25,0,2,16,37,31,13,2
farce,19,0,9,26,32,21,9,1
gecko,30,0,2,16,38,29,12,2
shine,20,1,14,32,30,17,6,1
canny,27,0,2,10,30,34,20,4
midst,26,0,3,25,39,24,9,1
badge,21,0,4,20,35,26,12,2
homer,21,0,3,16,26,24,19,12
train,25,6,26,32,22,10,3,0
hairy,19,1,8,24,33,23,10,1
story,21,1,10,23,29,24,11,2
forgo,32,0,1,9,26,37,23,3
larva,35,0,2,10,25,35,23,4
trash,25,2,19,34,27,13,4,1
zesty,27,0,2,12,27,30,22,7
shown,28,0,6,26,36,22,8,1
heist,25,1,13,32,31,16,6,1
askew,36,0,3,13,29,32,19,4
inert,30,0,7,27,34,22,9,1
olive,27,1,6,25,34,23,10,1
plant,22,2,19,39,28,10,3,0
oxide,31,0,2,11,30,33,21,4
cargo,23,0,5,20,34,27,12,2
foyer,20,0,2,10,19,19,23,26
flair,24,1,8,30,36,18,6,1
ample,27,0,4,20,35,27,11,2
cheek,31,0,3,19,40,28,9,1
shame,20,1,11,22,25,21,15,5
mince,21,0,6,24,35,24,10,1
chunk,29,1,4,29,42,18,5,1
royal,28,1,5,24,36,23,9,1
squad,29,0,3,20,33,27,14,2
black,26,1,10,31,34,18,6,1
stair,24,2,21,36,26,11,4,1
scare,19,1,12,23,26,21,13,4
foray,17,0,2,14,31,31,19,4
comma,40,0,2,13,33,33,17,3
natal,34,0,2,14,32,32,17,3
shawl,26,0,3,16,31,30,16,3
fewer,24,0,2,10,24,32,26,6
trope,22,1,16,33,28,15,6,1
snout,25,1,4,19,27,26,18,5
lowly,35,0,2,9,26,32,24,8
stove,24,0,5,16,24,27,21,6
shall,35,0,3,17,30,28,17,4
found,21,1,6,17,22,20,21,14
nymph,37,1,2,18,44,26,26,9
epoxy,37,0,2,13,31,33,18,3
depot,26,0,5,29,36,20,7,1
chest,28,1,14,35,31,14,5,1
purge,22,1,4,22,35,26,11,2
slosh,34,0,2,19,36,27,13,2
their,29,2,14,36,30,13,4,0
renew,30,0,4,20,33,27,13,2
allow,44,0,5,21,32,26,14,3
saute,14,1,8,31,34,19,6,1
movie,23,1,5,18,30,26,16,3
cater,18,1,7,19,22,19,18,15
tease,22,1,16,32,30,16,6,1
smelt,25,0,5,19,33,28,13,2
focus,21,1,4,23,36,24,10,1
today,20,1,7,29,35,20,7,1
watch,29,1,6,14,18,17,24,20
lapse,24,0,8,31,34,19,7,1
month,22,1,5,26,37,22,8,1
sweet,27,1,5,18,31,28,15,2
hoard,20,1,9,30,34,19,7,1
cloth,24,1,8,33,34,17,7,1
brine,19,1,9,25,29,22,12,3
ahead,37,1,5,20,35,26,12,2
mourn,23,1,8,29,34,19,8,1
nasty,22,1,7,26,31,21,11,2
rupee,24,1,2,17,35,30,13,2
choke,24,1,8,30,36,18,6,1
chant,23,1,9,33,33,16,7,1
spill,38,1,5,26,34,22,10,2
vivid,55,1,2,10,29,33,21,4
bloke,22,1,6,21,32,25,12,2
trove,23,1,5,16,24,25,22,8
thorn,28,1,14,38,30,12,4,0
other,32,1,9,26,30,21,10,2
tacit,35,1,4,21,32,26,14,3
swill,38,1,1,8,19,31,30,10
dodge,34,1,3,15,29,27,19,7
shake,20,1,6,16,23,24,21,9
caulk,23,1,4,20,31,26,15,3
aroma,39,1,6,25,33,22,11,2
cynic,48,1,6,25,33,22,11,2
robin,30,1,6,29,34,21,8,1
ultra,32,1,7,23,34,24,10,1
ulcer,26,1,4,18,30,28,16,3
pause,20,1,8,26,32,21,10,2
humor,30,1,5,22,34,25,11,2
frame,20,1,10,20,24,24,17,3
elder,35,1,3,13,24,30,24,5
skill,40,1,3,17,33,27,16,3
aloft,27,1,4,22,36,25,11,2
pleat,25,1,10,28,31,19,9,2
shard,21,1,7,22,28,25,14,4
moist,22,3,13,32,29,16,7,1
those,25,1,13,34,30,15,6,1
light,30,1,10,25,27,19,12,5
wrung,29,0,2,18,39,27,12,2
could,20,1,7,29,35,20,8,1
perky,20,1,4,17,30,27,17,4
mount,21,1,9,29,33,19,7,1
whack,31,1,4,22,37,24,10,2
sugar,24,1,6,25,34,23,9,1
knoll,43,1,1,11,29,33,21,4
crimp,27,1,5,28,38,20,7,1
wince,23,1,3,17,33,29,15,3
prick,28,1,8,30,33,19,7,1
robot,36,1,8,29,34,20,8,1
point,20,1,16,37,28,12,4,1
proxy,30,1,2,11,24,31,26,6
shire,20,1,8,32,32,18,8,2
solar,18,1,9,32,32,18,7,1
panic,28,1,9,35,34,16,5,1
tangy,20,1,4,21,30,24,15,5
abbey,44,1,2,13,29,31,20,3
favor,26,1,4,15,26,29,21,4
drink,26,1,9,35,34,16,5,1
query,26,1,4,16,30,30,17,2
gorge,35,1,3,13,27,30,22,4
crank,23,1,5,23,31,24,14,2
slump,27,1,3,23,39,24,9,1
